
date,series_id,value,city
2017-07-01,NEWY636UR,4.5,New York
2017-08-01,NEWY636UR,4.5,New York
2017-09-01,NEWY636UR,4.5,New York
2017-10-01,NEWY636UR,4.4,New York
2017-11-01,NEWY636UR,4.4,New York
2017-12-01,NEWY636UR,4.3,New York
2018-01-01,NEWY636UR,4.3,New York
2018-02-01,NEWY636UR,4.2,New York
2018-03-01,NEWY636UR,4.1,New York
2018-04-01,NEWY636UR,4.1,New York
2018-05-01,NEWY636UR,4.0,New York
2018-06-01,NEWY636UR,3.9,New York
2018-07-01,NEWY636UR,3.8,New York
2018-08-01,NEWY636UR,3.8,New York
2018-09-01,NEWY636UR,3.8,New York
2018-10-01,NEWY636UR,3.8,New York
2018-11-01,NEWY636UR,3.8,New York
2018-12-01,NEWY636UR,3.8,New York
2019-01-01,NEWY636UR,3.8,New York
2019-02-01,NEWY636UR,3.7,New York
2019-03-01,NEWY636UR,3.7,New York
2019-04-01,NEWY636UR,3.6,New York
2019-05-01,NEWY636UR,3.5,New York
2019-06-01,NEWY636UR,3.5,New York
2019-07-01,NEWY636UR,3.5,New York
2019-08-01,NEWY636UR,3.6,New York
2019-09-01,NEWY636UR,3.6,New York
2019-10-01,NEWY636UR,3.7,New York
2019-11-01,NEWY636UR,3.7,New York
2019-12-01,NEWY636UR,3.7,New York
2020-01-01,NEWY636UR,3.7,New York
2020-02-01,NEWY636UR,3.7,New York
2020-03-01,NEWY636UR,4.9,New York
2020-04-01,NEWY636UR,14.6,New York
2020-05-01,NEWY636UR,17.7,New York
2020-06-01,NEWY636UR,14.8,New York
2020-07-01,NEWY636UR,14.5,New York
2020-08-01,NEWY636UR,12.6,New York
2020-09-01,NEWY636UR,10.3,New York
2020-10-01,NEWY636UR,9.7,New York
2020-11-01,NEWY636UR,9.3,New York
2020-12-01,NEWY636UR,9.0,New York
2021-01-01,NEWY636UR,8.9,New York
2021-02-01,NEWY636UR,8.8,New York
2021-03-01,NEWY636UR,8.8,New York
2021-04-01,NEWY636UR,8.6,New York
